UNIQUE SR NO|SCHEME CODE|RTA SCHEME CODE|AMC SCHEME CODE|ISIN|AMC CODE|SCHEME TYPE|PLAN TYPE|SCHEME NAME|PURCHASE ALLOWED|PURCHASE TRANSACTION MODE|NEW PURCHASE MIN AMOUNT|ADDITIONAL PURCHASE MIN AMOUNT|ADDITIONAL PURCHASE MAX AMOUNT|PURCHASE AMOUNT MULTIPLIER|PURCHASE CUTOFF TIME|REDEMPTION ALLOWED|REDEMPTION TRANSACTION MODE|REDEMPTION MIN QTY|REDEMPTION QTY MULTIPLIER|REDEMPTION MAX QTY|REDEMPTION MIN AMOUNT|REDEMPTION MAX AMOUNT|REDEMPTION AMOUNT MULTIPLIER|REDEMPTION CUTOFF TIME|RTA AGENT CODE|AMC ACTIVE FLAG|DIV REINVEST FLAG|SIP ALLOWED|STP ENABLED|SWP ENABLED|SWITCH ALLOWED|SETTLEMENT TYPE|AMC IND|FACE VALUE|SCHEME START DATE|MATURITY DATE|EXIT LOAD FLAG|EXIT LOAD|LOCK IN PERIOD_FLAG|LOCK IN PERIOD|CHANNEL PARTNER CODE|REOPENING DATE|OPEN/CLOSE ENDED SCHEME
26344|IIIBHRG-GR|IBHRG|IBHRG|INF579M01AV5|IIFLMUTUALFUND_MF|DEBT|NORMAL|360 ONE BALANCED HYBRID FUND - REGULAR PLAN - GROWTH|Y|DP|1000|1000|199999|1|14:30:00|Y|DP|.001|.001|999999999|1000|9999999999|1|15:00:00|CAMS|Y|Z|Y|Y|Y|Y|T2||0|01-01-2010|31-12-2099|N||N|0|||
26343|IIIBHRG-GR-L1|IBHRG|IBHRG|INF579M01AV5|IIFLMUTUALFUND_MF|DEBT|NORMAL|360 ONE BALANCED HYBRID FUND - REGULAR PLAN - GROWTH|Y|DP|200000|200000|9999999999|1|14:30:00|N|DP|.001|.001|999999999|1000|9999999999|1|15:00:00|CAMS|Y|Z|Y|Y|Y|N|L1||0|01-01-2010|31-12-2099|N||N|0|||
26346|IIIBHRP-DP|IBHRP|IBHRP|INF579M01AW3|IIFLMUTUALFUND_MF|DEBT|NORMAL|360 ONE BALANCED HYBRID FUND - REGULAR PLAN - IDCW PAYOUT|Y|DP|1000|1000|199999|1|14:30:00|Y|DP|.001|.001|999999999|1000|9999999999|1|15:00:00|CAMS|Y|N|Y|Y|Y|Y|T2||0|01-01-2010|31-12-2099|N||N|0|||
26345|IIIBHRP-DP-L1|IBHRP|IBHRP|INF579M01AW3|IIFLMUTUALFUND_MF|DEBT|NORMAL|360 ONE BALANCED HYBRID FUND - REGULAR PLAN - IDCW PAYOUT|Y|DP|200000|200000|9999999999|1|14:30:00|N|DP|.001|.001|999999999|1000|9999999999|1|15:00:00|CAMS|Y|N|Y|Y|Y|N|L1||0|01-01-2010|31-12-2099|N||N|0|||
26348|IIIBHRR-DR|IBHRR|IBHRR|INF579M01AX1|IIFLMUTUALFUND_MF|DEBT|NORMAL|360 ONE BALANCED HYBRID FUND - REGULAR PLAN - IDCW REINVEST|Y|DP|1000|1000|199999|1|14:30:00|Y|DP|.001|.001|999999999|1000|9999999999|1|15:00:00|CAMS|Y|Y|Y|Y|Y|Y|T2||0|01-01-2010|31-12-2099|N||N|0|||
26347|IIIBHRR-DR-L1|IBHRR|IBHRR|INF579M01AX1|IIFLMUTUALFUND_MF|DEBT|NORMAL|360 ONE BALANCED HYBRID FUND - REGULAR PLAN - IDCW REINVEST|Y|DP|200000|200000|9999999999|1|14:30:00|N|DP|.001|.001|999999999|1000|9999999999|1|15:00:00|CAMS|Y|Y|Y|Y|Y|N|L1||0|01-01-2010|31-12-2099|N||N|0|||
26359|IIFL-DRDQ-DP-L1|DRDQ|DRDQ|INF579M01217|IIFLMUTUALFUND_MF|DEBT|NORMAL|360 ONE DYNAMIC BOND FUND|Y|P|200000|200000|0|100|14:30:00|N|P|.001|.001|0|.01|0|1|15:00:00|CAMS|Y|N|N|Y|Y|N|L1||0|01-01-2010|31-12-2099|N||N|0|||
26360|IIFL-DRG-GR-L1|DRG|DRG|INF579M01183|IIFLMUTUALFUND_MF|DEBT|NORMAL|360 ONE DYNAMIC BOND FUND|Y|P|200000|200000|0|100|14:30:00|N|P|.001|.001|0|.01|0|1|15:00:00|CAMS|Y|Z|N|Y|Y|N|L1||0|01-01-2010|31-12-2099|N||N|0|||
26357|IIFL-DRG-GR|DRG|DRG|INF579M01183|IIFLMUTUALFUND_MF|DEBT|NORMAL|360 ONE DYNAMIC BOND FUND|Y|P|10000|1000|199999|100|14:30:00|Y|P|.001|.001|0|.01|0|1|15:00:00|CAMS|Y|Z|Y|Y|Y|Y|T2||0|01-01-2010|31-12-2099|N||N|0|||
26361|IIFL-DRDRQ-DR-L1|DRDRQ|DRDRQ|INF579M01241|IIFLMUTUALFUND_MF|DEBT|NORMAL|360 ONE DYNAMIC BOND FUND|Y|P|200000|200000|0|100|14:30:00|N|P|.001|.001|0|.01|0|1|15:00:00|CAMS|Y|Y|N|Y|Y|N|L1||0|01-01-2010|31-12-2099|N||N|0|||
